129-0-482-89246-5;10.1109/tvcg.2023.3327398;International Tech Conference;2024-10-08;Βερολίνο
978-0-306-40615-7;10.1109/tvcg.2023.3327195;European Medical Summit;2024-12-03;Πάρισι
978-1-4165-4088-2;10.1109/tvcg.2023.3327168;Global Business Forum;2024-08-22;Λονδίνο
978-0-12-811257-1;10.1109/tvcg.2023.3327378;Cultural Heritage Symposium;2024-04-18;Ρώμη
978-0-8153-3218-3;10.1109/tvcg.2023.3327385;Marine Biology Conference;2024-07-30;Αμβέρσα
978-1-118-23072-5;10.1109/tvcg.2023.3327396;AI and Machine Learning Summit;2024-09-25;Νέα Υόρκη
978-0-393-91229-5;10.1109/tvcg.2023.3326913;Robotics International Expo;2024-11-08;Τόκιο
978-0-7167-8759-8;10.1109/tvcg.2023.3327368;Climate Change Conference;2024-10-15;Σίδνεϊ
978-0-323-22201-0;10.1109/tvcg.2023.3327197;FinTech Innovation Forum;2024-06-12;Σιγκαπούρη
978-0-7020-6291-4;10.1109/tvcg.2023.3326517;Future Energy Summit;2024-05-28;Ντουμπάι
978-0-443-06612-2;10.1109/tvcg.2023.3326579;Mobile World Congress;2024-02-26;Βαρκελώνη
978-0-07-352928-8;10.1109/tvcg.2023.3327170;Psychology and Neuroscience Congress;2024-03-14;Βιέννη
978-0-321-81163-6;10.1109/tvcg.2023.3326597;European Education Conference;2024-04-05;Πράγα
978-1-119-32063-4;10.1109/tvcg.2023.3327163;Nobel Science Symposium;2024-12-10;Στοκχόλμη
978-0-470-90332-7;10.1109/tvcg.2023.3327356;International Banking Forum;2024-01-30;Ζυρίχη
978-1-118-44711-2;10.1109/tvcg.2023.3327363;Digital Marketing Conference;2024-03-22;Μαδρίτη
978-0-470-91798-8;10.1109/tvcg.2023.3326929;Fashion Industry Summit;2024-09-18;Μιλάνο
978-1-119-45475-4;10.1109/tvcg.2023.3326598;EU Policy Conference;2024-05-08;Βρυξέλλες
978-0-13-409341-3;10.1109/tvcg.2023.3326937;Chemistry Research Symposium;2024-07-12;Αμβέρσα
978-1-292-13404-8;10.1109/tvcg.2023.3327393;Human Rights Convention;2024-11-25;Γενεύη
